"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"954","iPhone X Quốc Tế Chưa Active CPO","iphone x quốc tế chưa active cpo","Product","https://www.vietanhmobile.com/iphone-x-quoc-te-chua-active-cpo.html","https://www.vietanhmobile.com/hinh-anh/san-pham/iphone-X-quoc-te-chua-active-cpo-100-slide-1.jpg","new","in stock","21690000","","","Iphone X"
"954","iPhone X Quốc Tế Chưa Active CPO","iphone x quốc tế chưa active cpo","Product","https://www.vietanhmobile.com/iphone-x-quoc-te-chua-active-cpo.html","https://www.vietanhmobile.com/hinh-anh/san-pham/iphone-X-quoc-te-chua-active-cpo-100-slide-1.jpg","new","in stock","21690000","","","Iphone X"
"955","Apple Watch Series 3 Sport + LTE 38mm Hàng Trưng Bày","apple watch series 3 sport + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-38mm-hang-trung-bay-955.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-sport-white-99-slide-1.jpg","new","in stock","6990000","","","Apple Watch Hàng Trưng Bày"
"955","Apple Watch Series 3 Sport + LTE 38mm Hàng Trưng Bày","apple watch series 3 sport + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-38mm-hang-trung-bay-955.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-sport-white-99-slide-1.jpg","new","in stock","6990000","","","Apple Watch Hàng Trưng Bày"
"956","Apple Watch Series 3 Sport + LTE 38mm Hàng Trưng Bày","apple watch series 3 sport + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-38mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Rosegold-slide-h1956.jpg","new","in stock","6990000","","","Apple Watch Hàng Trưng Bày"
"956","Apple Watch Series 3 Sport + LTE 38mm Hàng Trưng Bày","apple watch series 3 sport + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-38mm-hang-trung-bay.html","https://www.vietanhmobile.com/hinh-anh/san-pham/Rosegold-slide-h1956.jpg","new","in stock","6990000","","","Apple Watch Hàng Trưng Bày"
"957","Apple Watch Series 3 Sport + LTE 42mm - New Trần","apple watch series 3 sport + lte 42mm - new trần","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-42mm-new-tran.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-sport-black-99-slide-1.jpg","new","in stock","8990000","","","Apple Watch Hàng Trưng Bày"
"957","Apple Watch Series 3 Sport + LTE 42mm - New Trần","apple watch series 3 sport + lte 42mm - new trần","Product","https://www.vietanhmobile.com/apple-watch-series-3-sport-lte-42mm-new-tran.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-sport-black-99-slide-1.jpg","new","in stock","8990000","","","Apple Watch Hàng Trưng Bày"
"958","Apple Watch Series 3 Steel + LTE 38mm Hàng Trưng Bày","apple watch series 3 steel + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-38mm-hang-trung-bay-958.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-38mm-gps-steel-silver-99-slide-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"958","Apple Watch Series 3 Steel + LTE 38mm Hàng Trưng Bày","apple watch series 3 steel + lte 38mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-38mm-hang-trung-bay-958.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-38mm-gps-steel-silver-99-slide-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"959","Apple Watch Series 3 Steel + LTE 42mm Hàng Trưng Bày","apple watch series 3 steel + lte 42mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-42mm-hang-trung-bay-959.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-steel-silver-99-slide-1.jpg","new","in stock","13990000","","","Apple Watch Hàng Trưng Bày"
"959","Apple Watch Series 3 Steel + LTE 42mm Hàng Trưng Bày","apple watch series 3 steel + lte 42mm hàng trưng bày","Product","https://www.vietanhmobile.com/apple-watch-series-3-steel-lte-42mm-hang-trung-bay-959.html","https://www.vietanhmobile.com/hinh-anh/san-pham/AW-Series3-42mm-gps-steel-silver-99-slide-1.jpg","new","in stock","13999000","","","Apple Watch Hàng Trưng Bày"
