"id","title","description","product_type","link","image_link","condition","availability","price","sale_price","sale_price_effective_date","brand"
"379","Sim Ghép Tự Động fix lỗi cho iPhone","sim ghép tự động fix lỗi cho iphone ","Product","https://www.vietanhmobile.com/sim-ghep-tu-dong-fix-loi-cho-iphone.html","https://www.vietanhmobile.com/hinh-anh/san-pham/sim-ghep-tu-dong-fix-loi-danh-cho-iphone-6s-6-phien-ban-moi-nhat-9-2-1-slide-h1379.jpg","new","in stock","240000","","","Phụ Kiện Apple"
"380","iPad Mini 2 16GB + 4G Màu Đen (Black)  Hàng Trưng Bày","ipad mini 2 16gb + 4g màu đen (black)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-16gb-4g-mau-den-black-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-16gb-4g-black-99-slide-1.jpg","new","in stock","5590000","","","iPad Mini 2"
"381","iPad Mini 2 16GB + 4G Màu Trắng (Silver)  Hàng Trưng Bày","ipad mini 2 16gb + 4g màu trắng (silver)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-16gb-4g-mau-trang-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-16gb-4g-silver-99-silde-1.jpg","new","in stock","5590000","","","iPad Mini 2"
"382","iPad Mini 2 32GB + 4G Màu Trắng (Silver)  Hàng Trưng Bày","ipad mini 2 32gb + 4g màu trắng (silver)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-32gb-4g-mau-trang-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-32gb-4g-silver-99-silde-1.jpg","new","in stock","6590000","","","iPad Mini 2"
"383","iPad Mini 2 32GB + 4G Màu Đen (Gray) Hàng Trưng Bày","ipad mini 2 32gb + 4g màu đen (gray)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-32gb-4g-mau-den-gray-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-32gb-4g-gray-99-slide-1.jpg","new","in stock","6590000","","","iPad Mini 2"
"384","iPad Mini 2 64GB + 4G Màu Trắng (Silver)  Hàng Trưng Bày","ipad mini 2 64gb + 4g màu trắng (silver)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-64gb-4g-mau-trang-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-64gb-4g-silver-99-silde-1.jpg","new","in stock","7590000","","","iPad Mini 2"
"385","iPad Mini 2 64GB + 4G Màu Đen (Gray) Hàng Trưng Bày","ipad mini 2 64gb + 4g màu đen (gray)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-2-64gb-4g-mau-den-gray-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-2-64gb-4g-gray-99-slide-1.jpg","new","in stock","7590000","","","iPad Mini 2"
"386","iPad Mini 3 16GB + 4G Màu Trắng (Silver)  Hàng Trưng Bày","ipad mini 3 16gb + 4g màu trắng (silver)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-16gb-4g-mau-trang-silver-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-16gb-4g-silver-99-slide.jpg","new","in stock","5690000","","","iPad Mini 3"
"387","iPad Mini 3 16GB + 4G Màu Đen (Gray)  Hàng Trưng Bày","ipad mini 3 16gb + 4g màu đen (gray)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-16gb-4g-mau-den-gray-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-16gb-4g-gray-99-silde-1.jpg","new","in stock","5590000","","","iPad Mini 3"
"388","iPad Mini 3 16GB + 4G Màu Vàng (Gold)  Hàng Trưng Bày","ipad mini 3 16gb + 4g màu vàng (gold)  qsd 99%","Product","https://www.vietanhmobile.com/ipad-mini-3-16gb-4g-mau-vang-gold-qsd-99.html","https://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-3-16gb-4g-gold-99-slide.jpg","new","in stock","5790000","","","iPad Mini 3"
